opentime,open,high,low,close,volume,closetime,assetvolume,trades,bav,qav,ignore
1511568000000,0.00002917,0.00002998,0.00002839,0.00002850,35941823.00000000,1511654399999,1044.40755395,11843,18378497.00000000,534.39638654,30967953.39370600
1511654400000,0.00002851,0.00002880,0.00002576,0.00002645,32665963.00000000,1511740799999,890.66913473,11007,16554550.00000000,451.01401400,31239995.27807200
1511740800000,0.00002649,0.00002649,0.00001997,0.00002537,34217238.00000000,1511827199999,876.62495229,13254,17420138.00000000,446.76227749,31536320.69734900
1511827200000,0.00002537,0.00002863,0.00002518,0.00002845,44771119.00000000,1511913599999,1187.44216873,16442,21962026.00000000,582.89424518,34552340.41236900
1511913600000,0.00002842,0.00002842,0.00002372,0.00002403,40864511.00000000,1511999999999,1025.49822720,15321,19991581.00000000,501.64535042,38360598.40959500
1512000000000,0.00002405,0.00002498,0.00002280,0.00002366,27593671.00000000,1512086399999,655.86767653,11481,11207301.00000000,266.83281868,38409634.80527000
1512086400000,0.00002366,0.00002421,0.00002273,0.00002282,39280165.00000000,1512172799999,921.55414747,9702,25116009.00000000,588.79168695,39146055.33313400
1512172800000,0.00002282,0.00002303,0.00002200,0.00002240,41607735.00000000,1512259199999,934.55796986,8902,26172422.00000000,588.13761213,40104706.11067842
1512259200000,0.00002241,0.00002250,0.00002127,0.00002186,35552953.00000000,1512345599999,781.00754480,8790,23261657.00000000,511.11659118,39756124.60766100
1512345600000,0.00002191,0.00002196,0.00002099,0.00002130,35780633.00000000,1512431999999,768.80916415,10122,22429271.00000000,482.32667823,42528455.31158400
1512432000000,0.00002128,0.00002135,0.00001962,0.00001997,48041834.00000000,1512518399999,987.82210506,13578,27778611.00000000,571.75767997,46201244.61655700
1512518400000,0.00001997,0.00002000,0.00000002,0.00001585,52681391.00000000,1512604799999,940.34147786,17406,30355510.00000000,543.42972611,46946373.40144200
1512604800000,0.00001585,0.00001591,0.00001208,0.00001221,52938627.00000000,1512691199999,760.75000042,18607,24907138.00000000,362.19792872,48293069.52092000
1512691200000,0.00001219,0.00002220,0.00001180,0.00001470,103693349.00000000,1512777599999,1569.84797082,40192,48006788.00000000,727.02558153,61868120.97938600
1512777600000,0.00001470,0.00001775,0.00001434,0.00001601,62924744.00000000,1512863999999,1013.11853674,20484,28606149.00000000,461.40766971,64602525.34326800
1512864000000,0.00001602,0.00001754,0.00001472,0.00001529,54182352.00000000,1512950399999,877.61740183,17951,23452733.00000000,379.40222207,66185889.45143600
1512950400000,0.00001527,0.00001551,0.00001400,0.00001486,56006931.00000000,1513036799999,821.78266971,17215,24259642.00000000,356.23003790,68702945.62897700
1513036800000,0.00001489,0.00002846,0.00001461,0.00002266,192329007.00000000,1513123199999,3950.43008276,75130,91748473.00000000,1899.51391514,108003370.73942200
1513123200000,0.00002297,0.00003250,0.00002011,0.00002893,263112416.00000000,1513209599999,6979.36649678,126502,137754281.00000000,3667.74267213,140613012.11599000
1513209600000,0.00002887,0.00005890,0.00002751,0.00005345,349578342.00000000,1513295999999,14870.30694756,239501,184997878.00000000,7891.05427776,198031439.15917600
1513296000000,0.00005329,0.00005329,0.00003420,0.00004201,291842208.00000000,1513382399999,12617.85557480,195074,149435807.00000000,6461.68985107,218475844.53740700
1513382400000,0.00004201,0.00004628,0.00003700,0.00003817,152874404.00000000,1513468799999,6317.94974980,107846,77298606.00000000,3194.02494304,215913226.29343400
1513468800000,0.00003825,0.00003945,0.00003355,0.00003749,110311831.00000000,1513555199999,4153.61979177,86356,54317646.00000000,2044.67982619,215411995.19087500
1513555200000,0.00003750,0.00004541,0.00003653,0.00004006,127377777.00000000,1513641599999,5021.48504182,100029,61925563.00000000,2440.50243662,0
1513641600000,0.00004006,0.00004490,0.00003938,0.00004254,131198110.00000000,1513727999999,5577.59888150,124330,63969052.00000000,2719.92002171,0
1513728000000,0.00004254,0.00004541,0.00004010,0.00004419,119083851.00000000,1513814399999,5100.16772137,114646,58253090.00000000,2497.20350807,0
1513814400000,0.00004419,0.00007450,0.00004364,0.00007300,311177201.00000000,1513900799999,18935.47648366,316870,162994390.00000000,9937.97172931,0
1513900800000,0.00007300,0.00009758,0.00006022,0.00007570,298889086.00000000,1513987199999,22875.74970318,337213,150625515.00000000,11542.17717998,0
1513987200000,0.00007562,0.00007773,0.00006831,0.00007162,96859039.00000000,1514073599999,6919.30570870,137155,48266160.00000000,3447.68603633,0
1514073600000,0.00007161,0.00007662,0.00006842,0.00007180,60342847.00000000,1514159999999,4317.38700636,96385,30843391.00000000,2209.52685216,0
1514160000000,0.00007186,0.00007251,0.00006900,0.00007082,60931837.00000000,1514246399999,4338.55239086,75641,30154432.00000000,2147.83884395,0
1514246400000,0.00007082,0.00007142,0.00006004,0.00006833,88433981.00000000,1514332799999,5825.21827452,101836,44944547.00000000,2950.62069764,0
1514332800000,0.00006827,0.00008499,0.00006701,0.00007889,178134054.00000000,1514419199999,13498.76512686,232004,88242261.00000000,6695.40115085,0
1514419200000,0.00007882,0.00009498,0.00007675,0.00008786,164279758.00000000,1514505599999,14242.81394018,237927,82649279.00000000,7169.23330728,0
1514505600000,0.00008786,0.00014950,0.00008729,0.00013624,343123179.00000000,1514591999999,40316.00893127,594551,178429790.00000000,20987.67471269,0
1514592000000,0.00013620,0.00019651,0.00013602,0.00014912,360685324.00000000,1514678399999,59302.43743634,731105,180696954.00000000,29771.99231717,0
1514678400000,0.00014905,0.00015874,0.00012200,0.00014299,178376382.00000000,1514764799999,25310.96216819,359701,89519205.00000000,12718.45169251,0
1514764800000,0.00014296,0.00015450,0.00013800,0.00015098,67565608.00000000,1514851199999,9721.66401389,171904,34660044.00000000,4990.84497452,0
1514851200000,0.00015098,0.00015930,0.00012000,0.00014843,125431775.00000000,1514937599999,18497.30590251,298333,65735573.00000000,9716.73166204,0
1514937600000,0.00014848,0.00019798,0.00014500,0.00018280,187490527.00000000,1515023999999,32087.23806648,469348,97893478.00000000,16737.72789555,0
1515024000000,0.00018272,0.00022968,0.00015750,0.00018000,209782490.00000000,1515110399999,41921.89165878,625494,104948698.00000000,21015.04122612,0
1515110400000,0.00018002,0.00020390,0.00013014,0.00014818,208768047.00000000,1515196799999,34996.17607694,531158,102162941.00000000,17206.25973639,0
1515196800000,0.00014817,0.00017722,0.00014441,0.00015319,110110862.00000000,1515283199999,17589.15375163,293127,56066385.00000000,8962.57526267,0
1515283200000,0.00015317,0.00017499,0.00015200,0.00016860,85920455.00000000,1515369599999,14098.61800061,224251,46140340.00000000,7565.69805259,0
1515369600000,0.00016860,0.00016935,0.00013800,0.00016051,84401918.00000000,1515455999999,13684.59303860,237585,41863841.00000000,6800.93953465,0
1515456000000,0.00016051,0.00016325,0.00013300,0.00014331,99285168.00000000,1515542399999,14915.76277466,277502,48044526.00000000,7247.00288886,0
